id,price,floor,lot,bath,bed,bathbed,year,age,agesq,gar,status,dac,school,ded,dha,dad,dcr,dpa
1,388,2180,4,3,4,12,1940,-3,9,0,Sold,0,Edison,1,0,0,0,0
2,450,2054,5,3,4,12,1957,-1.3,1.6900001,2,Sold,0,Edison,1,0,0,0,0
3,386,2112,5,2,4,8,1955,-1.5,2.25,2,Sold,0,Edison,1,0,0,0,0
4,350,1442,6,1,2,2,1956,-1.4,1.96,1,Active,1,Adams,0,0,1,0,0
5,155.5,1800,1,2,4,8,1994,2.4000001,5.7600002,1,Sold,0,Adams,0,0,1,0,0
6,220,1965,5,2,3,6,1940,-3,9,1,Sold,0,Adams,0,0,1,0,0
7,239.5,1800,4,1.1,4,4.4000001,1958,-1.2,1.4400001,1,Active,1,Parker,0,0,0,0,1
8,207,2254,4,2,4,8,1961,-.89999998,.81,2,Sold,0,Parker,0,0,0,0,1
9,269.89999,1922,4,2.0999999,4,8.3999996,1965,-.5,.25,2,Active,1,Parker,0,0,0,0,1
10,238.8,1920,5,2.0999999,3,6.3000002,1968,-.2,.039999999,2,Sold,0,Parker,0,0,0,0,1
11,359.89999,2200,5,2,3,6,1970,0,0,2,Active,1,Redwood,0,0,0,0,0
12,249.7,1868,4,2,4,8,1965,-.5,.25,2,Sold,0,Redwood,0,0,0,0,0
13,265,1875,4,2.0999999,3,6.3000002,1979,.89999998,.81,2,Sold,0,Redwood,0,0,0,0,0
14,349,2000,5,2,3,6,1997,2.7,7.29,2,Pending,0,Redwood,0,0,0,0,0
15,319,1855,4,2,4,8,1925,-4.5,20.25,2,Sold,0,Harris,0,1,0,0,0
16,339,1928,5,3,3,9,1972,.2,.039999999,2,Active,1,Redwood,0,0,0,0,0
17,283,1980,4,3,4,12,1971,.1,.0099999998,2,Active,1,Redwood,0,0,0,0,0
18,275,1528,3,2.0999999,3,6.3000002,1975,.5,.25,2,Active,1,Redwood,0,0,0,0,0
19,299.89999,1882,3,2.0999999,3,6.3000002,1976,.60000002,.36000001,2,Active,1,Redwood,0,0,0,0,0
20,277,1440,3,2,3,6,1948,-2.2,4.8400002,2,Active,1,Edison,1,0,0,0,0
21,299,1994,8,3,2,6,2005,3.5,12.25,3,Pending,0,Parker,0,0,0,0,1
22,185,1860,4,2,5,10,1953,-1.7,2.8900001,0,Sold,0,Parker,0,0,0,0,1
23,232,2030.9999,4,2,4,8,1950,-2,4,0,Sold,0,Parker,0,0,0,0,1
24,214.89999,1868,5,2,4,8,1966,-.40000001,.16,2,Sold,0,Redwood,0,0,0,0,0
25,195,2112,4,2,3,6,1966,-.40000001,.16,2,Sold,0,Redwood,0,0,0,0,0
26,256,1974,4,2,3,6,1961,-.89999998,.81,2,Sold,0,Harris,0,1,0,0,0
27,269.70001,2100,4,2,4,8,1969,-.1,.0099999998,2,Active,1,Parker,0,0,0,0,1
28,330,1894,2,2,3,6,1950,-2,4,1,Sold,0,Edison,1,0,0,0,0
29,249.89999,1804,5,2,3,6,1960,-1,1,2,Pending,0,Redwood,0,0,0,0,0
30,279.89999,2010,5,2,3,6,1969,-.1,.0099999998,2,Pending,0,Edison,1,0,0,0,0
31,325,1661,4,1.1,3,3.3,1974,.40000001,.16,2,Active,1,Crest,0,0,0,1,0
32,259.89999,1708,4,2,4,8,1937,-3.3,10.89,0,Active,1,Crest,0,0,0,1,0
33,324.5,1800,2,2.0999999,3,6.3000002,2000,3,9,1,Pending,0,Harris,0,1,0,0,0
34,359.89999,1968,3,3,3,9,1980,1,1,2,Active,1,Harris,0,1,0,0,0
35,252.5,1888,2,2,6,12,1920,-5,25,0,Sold,0,Edison,1,0,0,0,0
36,269,1800,3,3,5,15,1947,-2.3,5.29,0,Sold,0,Redwood,0,0,0,0,0
37,235,1712,5,1,3,3,1948,-2.2,4.8400002,1,Sold,0,Edison,1,0,0,0,0
38,256.5,2200,4,2.0999999,3,6.3000002,1966,-.40000001,.16,2,Sold,0,Redwood,0,0,0,0,0
39,319.89999,1920,7,2.0999999,3,6.3000002,2004,3.4000001,11.56,2,Active,1,Parker,0,0,0,0,1
40,355,2129,5,2,3,6,2003,3.3,10.89,2,Pending,0,Parker,0,0,0,0,1
41,285,2235,7,3.0999999,4,12.4,1975,.5,.25,2,Active,1,Crest,0,0,0,1,0
42,242,2279,5,2.0999999,4,8.3999996,1949,-2.0999999,4.4099998,1,Sold,0,Parker,0,0,0,0,1
43,197,1850,3,2,4,8,1964,-.60000002,.36000001,1,Sold,0,Redwood,0,0,0,0,0
44,281.79999,1886,4,2,3,6,2005,3.5,12.25,2,Sold,0,Edison,1,0,0,0,0
45,259,2080,2,2,4,8,1969,-.1,.0099999998,2,Pending,0,Redwood,0,0,0,0,0
46,189.5,1906,3,2.0999999,3,6.3000002,1975,.5,.25,0,Sold,0,Redwood,0,0,0,0,0
47,339.89999,2048,5,2,2,4,1993,2.3,5.29,3,Pending,0,Redwood,0,0,0,0,0
48,297,2106,4,2.0999999,3,6.3000002,1995,2.5,6.25,2,Sold,0,Redwood,0,0,0,0,0
49,295,2028.0001,4,3,5,15,1992,2.2,4.8400002,2,Sold,0,Redwood,0,0,0,0,0
50,222.5,1794,4,2,3,6,1960,-1,1,0,Sold,0,Crest,0,0,0,1,0
51,199,2016,3,2,5,10,1963,-.69999999,.49000001,1,Pending,0,Redwood,0,0,0,0,0
52,385.5,1904,4,1.1,3,3.3,1919,-5.0999999,26.01,1,Sold,0,Edison,1,0,0,0,0
53,230,2234,3,3,4,12,1972,.2,.039999999,2,Sold,0,Redwood,0,0,0,0,0
54,285,2269,3,3.0999999,4,12.4,1905,-6.5,42.25,0,Sold,0,Edison,1,0,0,0,0
55,243,1810,4,3,3,9,1961,-.89999998,.81,2,Sold,0,Redwood,0,0,0,0,0
56,217,1875,4,2,3,6,1961,-.89999998,.81,0,Sold,0,Redwood,0,0,0,0,0
57,259.89999,1683,5,2.0999999,3,6.3000002,1979,.89999998,.81,1,Active,1,Harris,0,1,0,0,0
58,349.5,2080,4,2.0999999,3,6.3000002,2005,3.5,12.25,2,Active,1,Harris,0,1,0,0,0
59,345,2126,1,3.0999999,3,9.3000002,2005,3.5,12.25,2,Active,1,Harris,0,1,0,0,0
60,336,2126,1,3.0999999,3,9.3000002,2005,3.5,12.25,2,Pending,0,Harris,0,1,0,0,0
61,333.79999,2126,1,3.0999999,3,9.3000002,2005,3.5,12.25,2,Active,1,Harris,0,1,0,0,0
62,340,2126,1,3.0999999,3,9.3000002,2005,3.5,12.25,2,Sold,0,Harris,0,1,0,0,0
63,345,2126,1,3.0999999,3,9.3000002,2005,3.5,12.25,2,Sold,0,Harris,0,1,0,0,0
64,374.5,1712,5,1.1,3,3.3,1908,-6.1999998,38.439999,2,Pending,0,Edison,1,0,0,0,0
65,236.5,1950,4,3,4,12,1966,-.40000001,.16,2,Pending,0,Redwood,0,0,0,0,0
66,350,2020,7,2,3,6,1976,.60000002,.36000001,2,Pending,0,Harris,0,1,0,0,0
67,270,2053,3,2.0999999,3,6.3000002,1977,.69999999,.49000001,2,Active,1,Redwood,0,0,0,0,0
68,299,1743,3,2,3,6,1988,1.8,3.24,2,Active,1,Harris,0,1,0,0,0
69,285,1878,5,2.0999999,3,6.3000002,1975,.5,.25,2,Active,1,Crest,0,0,0,1,0
70,255,1900,4,2,3,6,1980,1,1,2,Sold,0,Parker,0,0,0,0,1
71,259,2208,4,3,3,9,1979,.89999998,.81,2,Active,1,Parker,0,0,0,0,1
72,249.89999,2081,5,2.0999999,4,8.3999996,1970,0,0,1,Sold,0,Harris,0,1,0,0,0
73,215,2043.9999,1,1.1,4,4.4000001,1936,-3.4000001,11.56,0,Sold,0,Parker,0,0,0,0,1
74,435,2253,11,2,3,6,1979,.89999998,.81,2,Sold,0,Redwood,0,0,0,0,0
75,274.89999,1861,4,2,4,8,1995,2.5,6.25,2,Active,1,Parker,0,0,0,0,1
76,349.5,2896,4,3,5,15,1979,.89999998,.81,2,Active,1,Crest,0,0,0,1,0
